file_1,file_2,problem,pair_type,ground_truth
dataset/4A/4A-C/360559661.c,dataset/4A/4A-C/360559661_cheat_comment.c,4A,base_variant,1
dataset/4A/4A-C/360561260.c,dataset/4A/4A-C/360561260_cheat_rename.c,4A,base_variant,1
dataset/4A/4A-C/360565210.c,dataset/4A/4A-C/360565210_cheat_format.c,4A,base_variant,1
dataset/4A/4A-C/360641077.c,dataset/4A/4A-C/360641077_cheat_header.c,4A,base_variant,1
dataset/4A/4A-C/360641766.c,dataset/4A/4A-C/360641766_cheat_combo.c,4A,base_variant,1
dataset/4A/4A-C++/360582672.cpp,dataset/4A/4A-C++/360582672_cheat_comment.cpp,4A,base_variant,1
dataset/4A/4A-C++/360583459.cpp,dataset/4A/4A-C++/360583459_cheat_rename.cpp,4A,base_variant,1
dataset/4A/4A-C++/360586102.cpp,dataset/4A/4A-C++/360586102_cheat_format.cpp,4A,base_variant,1
dataset/4A/4A-C++/360587095.cpp,dataset/4A/4A-C++/360587095_cheat_header.cpp,4A,base_variant,1
dataset/4A/4A-C++/360588913.cpp,dataset/4A/4A-C++/360588913_cheat_combo.cpp,4A,base_variant,1
dataset/4A/4A-Python/360576345.py,dataset/4A/4A-Python/360576345_cheat_comment.py,4A,base_variant,1
dataset/4A/4A-Python/360576754.py,dataset/4A/4A-Python/360576754_cheat_rename.py,4A,base_variant,1
dataset/4A/4A-Python/360587507.py,dataset/4A/4A-Python/360587507_cheat_format.py,4A,base_variant,1
dataset/4A/4A-Python/360641783.py,dataset/4A/4A-Python/360641783_cheat_header.py,4A,base_variant,1
dataset/4A/4A-Python/360643870.py,dataset/4A/4A-Python/360643870_cheat_combo.py,4A,base_variant,1
dataset/282A/282A-C/360567221.c,dataset/282A/282A-C/360567221_cheat_comment.c,282A,base_variant,1
dataset/282A/282A-C/360630887.c,dataset/282A/282A-C/360630887_cheat_rename.c,282A,base_variant,1
dataset/282A/282A-C/360634032.c,dataset/282A/282A-C/360634032_cheat_format.c,282A,base_variant,1
dataset/282A/282A-C/360635216.c,dataset/282A/282A-C/360635216_cheat_header.c,282A,base_variant,1
dataset/282A/282A-C/360646971.c,dataset/282A/282A-C/360646971_cheat_combo.c,282A,base_variant,1
dataset/282A/282A-C++/360565239.cpp,dataset/282A/282A-C++/360565239_cheat_comment.cpp,282A,base_variant,1
dataset/282A/282A-C++/360567451.cpp,dataset/282A/282A-C++/360567451_cheat_rename.cpp,282A,base_variant,1
dataset/282A/282A-C++/360587121.cpp,dataset/282A/282A-C++/360587121_cheat_format.cpp,282A,base_variant,1
dataset/282A/282A-C++/360587609.cpp,dataset/282A/282A-C++/360587609_cheat_header.cpp,282A,base_variant,1
dataset/282A/282A-C++/360592412.cpp,dataset/282A/282A-C++/360592412_cheat_combo.cpp,282A,base_variant,1
dataset/282A/282A-Python/360626074.py,dataset/282A/282A-Python/360626074_cheat_comment.py,282A,base_variant,1
dataset/282A/282A-Python/360638583.py,dataset/282A/282A-Python/360638583_cheat_rename.py,282A,base_variant,1
dataset/282A/282A-Python/360639994.py,dataset/282A/282A-Python/360639994_cheat_format.py,282A,base_variant,1
dataset/282A/282A-Python/360645626.py,dataset/282A/282A-Python/360645626_cheat_header.py,282A,base_variant,1
dataset/282A/282A-Python/360668226.py,dataset/282A/282A-Python/360668226_cheat_combo.py,282A,base_variant,1
dataset/281A/281A-C/359656992.c,dataset/281A/281A-C/359656992_cheat_comment.c,281A,base_variant,1
dataset/281A/281A-C/360620246.c,dataset/281A/281A-C/360620246_cheat_rename.c,281A,base_variant,1
dataset/281A/281A-C/360623901.c,dataset/281A/281A-C/360623901_cheat_format.c,281A,base_variant,1
dataset/281A/281A-C/360634329.c,dataset/281A/281A-C/360634329_cheat_header.c,281A,base_variant,1
dataset/281A/281A-C/360670120.c,dataset/281A/281A-C/360670120_cheat_combo.c,281A,base_variant,1
dataset/281A/281A-C++/360636476.cpp,dataset/281A/281A-C++/360636476_cheat_comment.cpp,281A,base_variant,1
dataset/281A/281A-C++/360644607.cpp,dataset/281A/281A-C++/360644607_cheat_rename.cpp,281A,base_variant,1
dataset/281A/281A-C++/360646201.cpp,dataset/281A/281A-C++/360646201_cheat_format.cpp,281A,base_variant,1
dataset/281A/281A-C++/360646251.cpp,dataset/281A/281A-C++/360646251_cheat_header.cpp,281A,base_variant,1
dataset/281A/281A-C++/360647993.cpp,dataset/281A/281A-C++/360647993_cheat_combo.cpp,281A,base_variant,1
dataset/281A/281A-Python/360622053.py,dataset/281A/281A-Python/360622053_cheat_comment.py,281A,base_variant,1
dataset/281A/281A-Python/360622562.py,dataset/281A/281A-Python/360622562_cheat_rename.py,281A,base_variant,1
dataset/281A/281A-Python/360633476.py,dataset/281A/281A-Python/360633476_cheat_format.py,281A,base_variant,1
dataset/281A/281A-Python/360637011.py,dataset/281A/281A-Python/360637011_cheat_header.py,281A,base_variant,1
dataset/281A/281A-Python/360640808.py,dataset/281A/281A-Python/360640808_cheat_combo.py,281A,base_variant,1
dataset/263A/263A-C/360661776.c,dataset/263A/263A-C/360661776_cheat_comment.c,263A,base_variant,1
dataset/263A/263A-C/360667649.c,dataset/263A/263A-C/360667649_cheat_rename.c,263A,base_variant,1
dataset/263A/263A-C/360669835.c,dataset/263A/263A-C/360669835_cheat_format.c,263A,base_variant,1
dataset/263A/263A-C/360687299.c,dataset/263A/263A-C/360687299_cheat_header.c,263A,base_variant,1
dataset/263A/263A-C/360698719.c,dataset/263A/263A-C/360698719_cheat_combo.c,263A,base_variant,1
dataset/263A/263A-C++/360636115.cpp,dataset/263A/263A-C++/360636115_cheat_comment.cpp,263A,base_variant,1
dataset/263A/263A-C++/360641232.cpp,dataset/263A/263A-C++/360641232_cheat_rename.cpp,263A,base_variant,1
dataset/263A/263A-C++/360645065.cpp,dataset/263A/263A-C++/360645065_cheat_format.cpp,263A,base_variant,1
dataset/263A/263A-C++/360645382.cpp,dataset/263A/263A-C++/360645382_cheat_header.cpp,263A,base_variant,1
dataset/263A/263A-C++/360648004.cpp,dataset/263A/263A-C++/360648004_cheat_combo.cpp,263A,base_variant,1
dataset/263A/263A-Python/360627138.py,dataset/263A/263A-Python/360627138_cheat_comment.py,263A,base_variant,1
dataset/263A/263A-Python/360628251.py,dataset/263A/263A-Python/360628251_cheat_rename.py,263A,base_variant,1
dataset/263A/263A-Python/360630264.py,dataset/263A/263A-Python/360630264_cheat_format.py,263A,base_variant,1
dataset/263A/263A-Python/360634784.py,dataset/263A/263A-Python/360634784_cheat_header.py,263A,base_variant,1
dataset/263A/263A-Python/360641231.py,dataset/263A/263A-Python/360641231_cheat_combo.py,263A,base_variant,1
dataset/231A/231A-C/360494471.c,dataset/231A/231A-C/360494471_cheat_comment.c,231A,base_variant,1
dataset/231A/231A-C/360509290.c,dataset/231A/231A-C/360509290_cheat_rename.c,231A,base_variant,1
dataset/231A/231A-C/360516137.c,dataset/231A/231A-C/360516137_cheat_format.c,231A,base_variant,1
dataset/231A/231A-C/360580534.c,dataset/231A/231A-C/360580534_cheat_header.c,231A,base_variant,1
dataset/231A/231A-C/360628672.c,dataset/231A/231A-C/360628672_cheat_combo.c,231A,base_variant,1
dataset/231A/231A-C++/360592425.cpp,dataset/231A/231A-C++/360592425_cheat_comment.cpp,231A,base_variant,1
dataset/231A/231A-C++/360592601.cpp,dataset/231A/231A-C++/360592601_cheat_rename.cpp,231A,base_variant,1
dataset/231A/231A-C++/360593884.cpp,dataset/231A/231A-C++/360593884_cheat_format.cpp,231A,base_variant,1
dataset/231A/231A-C++/360594109.cpp,dataset/231A/231A-C++/360594109_cheat_header.cpp,231A,base_variant,1
dataset/231A/231A-C++/360596410.cpp,dataset/231A/231A-C++/360596410_cheat_combo.cpp,231A,base_variant,1
dataset/231A/231A-Python/360526945.py,dataset/231A/231A-Python/360526945_cheat_comment.py,231A,base_variant,1
dataset/231A/231A-Python/360535070.py,dataset/231A/231A-Python/360535070_cheat_rename.py,231A,base_variant,1
dataset/231A/231A-Python/360539195.py,dataset/231A/231A-Python/360539195_cheat_format.py,231A,base_variant,1
dataset/231A/231A-Python/360546795.py,dataset/231A/231A-Python/360546795_cheat_header.py,231A,base_variant,1
dataset/231A/231A-Python/360571063.py,dataset/231A/231A-Python/360571063_cheat_combo.py,231A,base_variant,1
dataset/1A/1A-C/360446481.c,dataset/1A/1A-C/360446481_cheat_comment.c,1A,base_variant,1
dataset/1A/1A-C/360480713.c,dataset/1A/1A-C/360480713_cheat_rename.c,1A,base_variant,1
dataset/1A/1A-C/360616262.c,dataset/1A/1A-C/360616262_cheat_format.c,1A,base_variant,1
dataset/1A/1A-C/360633094.c,dataset/1A/1A-C/360633094_cheat_header.c,1A,base_variant,1
dataset/1A/1A-C/360678003.c,dataset/1A/1A-C/360678003_cheat_combo.c,1A,base_variant,1
dataset/1A/1A-C++/360560545.cpp,dataset/1A/1A-C++/360560545_cheat_comment.cpp,1A,base_variant,1
dataset/1A/1A-C++/360567454.cpp,dataset/1A/1A-C++/360567454_cheat_rename.cpp,1A,base_variant,1
dataset/1A/1A-C++/360580615.cpp,dataset/1A/1A-C++/360580615_cheat_format.cpp,1A,base_variant,1
dataset/1A/1A-C++/360583201.cpp,dataset/1A/1A-C++/360583201_cheat_header.cpp,1A,base_variant,1
dataset/1A/1A-C++/360585204.cpp,dataset/1A/1A-C++/360585204_cheat_combo.cpp,1A,base_variant,1
dataset/1A/1A-Python/360480126.py,dataset/1A/1A-Python/360480126_cheat_comment.py,1A,base_variant,1
dataset/1A/1A-Python/360486634.py,dataset/1A/1A-Python/360486634_cheat_rename.py,1A,base_variant,1
dataset/1A/1A-Python/360486782.py,dataset/1A/1A-Python/360486782_cheat_format.py,1A,base_variant,1
dataset/1A/1A-Python/360487442.py,dataset/1A/1A-Python/360487442_cheat_header.py,1A,base_variant,1
dataset/1A/1A-Python/360645541.py,dataset/1A/1A-Python/360645541_cheat_combo.py,1A,base_variant,1
dataset/158A/158A-C/360484479.c,dataset/158A/158A-C/360484479_cheat_comment.c,158A,base_variant,1
dataset/158A/158A-C/360646280.c,dataset/158A/158A-C/360646280_cheat_rename.c,158A,base_variant,1
dataset/158A/158A-C/360654905.c,dataset/158A/158A-C/360654905_cheat_format.c,158A,base_variant,1
dataset/158A/158A-C/360661198.c,dataset/158A/158A-C/360661198_cheat_header.c,158A,base_variant,1
dataset/158A/158A-C/360668600.c,dataset/158A/158A-C/360668600_cheat_combo.c,158A,base_variant,1
dataset/158A/158A-C++/360533482.cpp,dataset/158A/158A-C++/360533482_cheat_comment.cpp,158A,base_variant,1
dataset/158A/158A-C++/360572881.cpp,dataset/158A/158A-C++/360572881_cheat_rename.cpp,158A,base_variant,1
dataset/158A/158A-C++/360579228.cpp,dataset/158A/158A-C++/360579228_cheat_format.cpp,158A,base_variant,1
dataset/158A/158A-C++/360580876.cpp,dataset/158A/158A-C++/360580876_cheat_header.cpp,158A,base_variant,1
dataset/158A/158A-C++/360590862.cpp,dataset/158A/158A-C++/360590862_cheat_combo.cpp,158A,base_variant,1
dataset/158A/158A-Python/360484149.py,dataset/158A/158A-Python/360484149_cheat_comment.py,158A,base_variant,1
dataset/158A/158A-Python/360484962.py,dataset/158A/158A-Python/360484962_cheat_rename.py,158A,base_variant,1
dataset/158A/158A-Python/360586361.py,dataset/158A/158A-Python/360586361_cheat_format.py,158A,base_variant,1
dataset/158A/158A-Python/360641765.py,dataset/158A/158A-Python/360641765_cheat_header.py,158A,base_variant,1
dataset/158A/158A-Python/360646349.py,dataset/158A/158A-Python/360646349_cheat_combo.py,158A,base_variant,1
dataset/112A/112A-C/360484727.c,dataset/112A/112A-C/360484727_cheat_comment.c,112A,base_variant,1
dataset/112A/112A-C/360596168.c,dataset/112A/112A-C/360596168_cheat_rename.c,112A,base_variant,1
dataset/112A/112A-C/360606571.c,dataset/112A/112A-C/360606571_cheat_format.c,112A,base_variant,1
dataset/112A/112A-C/360669619.c,dataset/112A/112A-C/360669619_cheat_header.c,112A,base_variant,1
dataset/112A/112A-C/360677420.c,dataset/112A/112A-C/360677420_cheat_combo.c,112A,base_variant,1
dataset/112A/112A-C++/360643298.cpp,dataset/112A/112A-C++/360643298_cheat_comment.cpp,112A,base_variant,1
dataset/112A/112A-C++/360644998.cpp,dataset/112A/112A-C++/360644998_cheat_rename.cpp,112A,base_variant,1
dataset/112A/112A-C++/360645914.cpp,dataset/112A/112A-C++/360645914_cheat_format.cpp,112A,base_variant,1
dataset/112A/112A-C++/360646996.cpp,dataset/112A/112A-C++/360646996_cheat_header.cpp,112A,base_variant,1
dataset/112A/112A-C++/360647323.cpp,dataset/112A/112A-C++/360647323_cheat_combo.cpp,112A,base_variant,1
dataset/112A/112A-Python/360628330.py,dataset/112A/112A-Python/360628330_cheat_comment.py,112A,base_variant,1
dataset/112A/112A-Python/360631645.py,dataset/112A/112A-Python/360631645_cheat_rename.py,112A,base_variant,1
dataset/112A/112A-Python/360634777.py,dataset/112A/112A-Python/360634777_cheat_format.py,112A,base_variant,1
dataset/112A/112A-Python/360642090.py,dataset/112A/112A-Python/360642090_cheat_header.py,112A,base_variant,1
dataset/112A/112A-Python/360644893.py,dataset/112A/112A-Python/360644893_cheat_combo.py,112A,base_variant,1
dataset/71A/71A-C/360506472.c,dataset/71A/71A-C/360643322.c,71A,independent_same_problem,0
dataset/71A/71A-C/360506472.c,dataset/71A/71A-C/360643322_cheat_rename.c,71A,independent_same_problem,0
dataset/71A/71A-C/360506472.c,dataset/71A/71A-C/360660853.c,71A,independent_same_problem,0
dataset/71A/71A-C/360506472.c,dataset/71A/71A-C/360660853_cheat_format.c,71A,independent_same_problem,0
dataset/71A/71A-C/360506472.c,dataset/71A/71A-C/360662342.c,71A,independent_same_problem,0
dataset/71A/71A-C/360506472.c,dataset/71A/71A-C/360662342_cheat_header.c,71A,independent_same_problem,0
dataset/71A/71A-C/360506472.c,dataset/71A/71A-C/360666968.c,71A,independent_same_problem,0
dataset/71A/71A-C/360506472.c,dataset/71A/71A-C/360666968_cheat_combo.c,71A,independent_same_problem,0
dataset/71A/71A-C/360506472_cheat_comment.c,dataset/71A/71A-C/360643322.c,71A,independent_same_problem,0
dataset/71A/71A-C/360506472_cheat_comment.c,dataset/71A/71A-C/360643322_cheat_rename.c,71A,independent_same_problem,0
dataset/71A/71A-C/360506472_cheat_comment.c,dataset/71A/71A-C/360660853.c,71A,independent_same_problem,0
dataset/71A/71A-C/360506472_cheat_comment.c,dataset/71A/71A-C/360660853_cheat_format.c,71A,independent_same_problem,0
dataset/71A/71A-C/360506472_cheat_comment.c,dataset/71A/71A-C/360662342.c,71A,independent_same_problem,0
dataset/71A/71A-C/360506472_cheat_comment.c,dataset/71A/71A-C/360662342_cheat_header.c,71A,independent_same_problem,0
dataset/71A/71A-C/360506472_cheat_comment.c,dataset/71A/71A-C/360666968.c,71A,independent_same_problem,0
dataset/71A/71A-C/360506472_cheat_comment.c,dataset/71A/71A-C/360666968_cheat_combo.c,71A,independent_same_problem,0
dataset/71A/71A-C/360643322.c,dataset/71A/71A-C/360660853.c,71A,independent_same_problem,0
dataset/71A/71A-C/360643322.c,dataset/71A/71A-C/360660853_cheat_format.c,71A,independent_same_problem,0
dataset/71A/71A-C/360643322.c,dataset/71A/71A-C/360662342.c,71A,independent_same_problem,0
dataset/71A/71A-C/360643322.c,dataset/71A/71A-C/360662342_cheat_header.c,71A,independent_same_problem,0
dataset/71A/71A-C/360643322.c,dataset/71A/71A-C/360666968.c,71A,independent_same_problem,0
dataset/71A/71A-C/360643322.c,dataset/71A/71A-C/360666968_cheat_combo.c,71A,independent_same_problem,0
dataset/71A/71A-C/360643322_cheat_rename.c,dataset/71A/71A-C/360660853.c,71A,independent_same_problem,0
dataset/71A/71A-C/360643322_cheat_rename.c,dataset/71A/71A-C/360660853_cheat_format.c,71A,independent_same_problem,0
dataset/71A/71A-C/360643322_cheat_rename.c,dataset/71A/71A-C/360662342.c,71A,independent_same_problem,0
dataset/71A/71A-C/360643322_cheat_rename.c,dataset/71A/71A-C/360662342_cheat_header.c,71A,independent_same_problem,0
dataset/71A/71A-C/360643322_cheat_rename.c,dataset/71A/71A-C/360666968.c,71A,independent_same_problem,0
dataset/71A/71A-C/360643322_cheat_rename.c,dataset/71A/71A-C/360666968_cheat_combo.c,71A,independent_same_problem,0
dataset/71A/71A-C/360660853.c,dataset/71A/71A-C/360662342.c,71A,independent_same_problem,0
dataset/71A/71A-C/360660853.c,dataset/71A/71A-C/360662342_cheat_header.c,71A,independent_same_problem,0
dataset/71A/71A-C/360660853.c,dataset/71A/71A-C/360666968.c,71A,independent_same_problem,0
dataset/71A/71A-C/360660853.c,dataset/71A/71A-C/360666968_cheat_combo.c,71A,independent_same_problem,0
dataset/71A/71A-C/360660853_cheat_format.c,dataset/71A/71A-C/360662342.c,71A,independent_same_problem,0
dataset/71A/71A-C/360660853_cheat_format.c,dataset/71A/71A-C/360662342_cheat_header.c,71A,independent_same_problem,0
dataset/71A/71A-C/360660853_cheat_format.c,dataset/71A/71A-C/360666968.c,71A,independent_same_problem,0
dataset/71A/71A-C/360660853_cheat_format.c,dataset/71A/71A-C/360666968_cheat_combo.c,71A,independent_same_problem,0
dataset/71A/71A-C/360662342.c,dataset/71A/71A-C/360666968.c,71A,independent_same_problem,0
dataset/71A/71A-C/360662342.c,dataset/71A/71A-C/360666968_cheat_combo.c,71A,independent_same_problem,0
dataset/71A/71A-C/360662342_cheat_header.c,dataset/71A/71A-C/360666968.c,71A,independent_same_problem,0
dataset/71A/71A-C/360662342_cheat_header.c,dataset/71A/71A-C/360666968_cheat_combo.c,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395.cpp,dataset/71A/71A-C++/360562026.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395.cpp,dataset/71A/71A-C++/360562026_cheat_rename.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395.cpp,dataset/71A/71A-C++/360568900.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395.cpp,dataset/71A/71A-C++/360568900_cheat_format.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395.cpp,dataset/71A/71A-C++/360583506.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395.cpp,dataset/71A/71A-C++/360583506_cheat_header.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395.cpp,dataset/71A/71A-C++/360587333.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395.cpp,dataset/71A/71A-C++/360587333_cheat_combo.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395_cheat_comment.cpp,dataset/71A/71A-C++/360562026.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395_cheat_comment.cpp,dataset/71A/71A-C++/360562026_cheat_rename.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395_cheat_comment.cpp,dataset/71A/71A-C++/360568900.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395_cheat_comment.cpp,dataset/71A/71A-C++/360568900_cheat_format.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395_cheat_comment.cpp,dataset/71A/71A-C++/360583506.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395_cheat_comment.cpp,dataset/71A/71A-C++/360583506_cheat_header.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395_cheat_comment.cpp,dataset/71A/71A-C++/360587333.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360542395_cheat_comment.cpp,dataset/71A/71A-C++/360587333_cheat_combo.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360562026.cpp,dataset/71A/71A-C++/360568900.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360562026.cpp,dataset/71A/71A-C++/360568900_cheat_format.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360562026.cpp,dataset/71A/71A-C++/360583506.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360562026.cpp,dataset/71A/71A-C++/360583506_cheat_header.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360562026.cpp,dataset/71A/71A-C++/360587333.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360562026.cpp,dataset/71A/71A-C++/360587333_cheat_combo.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360562026_cheat_rename.cpp,dataset/71A/71A-C++/360568900.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360562026_cheat_rename.cpp,dataset/71A/71A-C++/360568900_cheat_format.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360562026_cheat_rename.cpp,dataset/71A/71A-C++/360583506.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360562026_cheat_rename.cpp,dataset/71A/71A-C++/360583506_cheat_header.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360562026_cheat_rename.cpp,dataset/71A/71A-C++/360587333.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360562026_cheat_rename.cpp,dataset/71A/71A-C++/360587333_cheat_combo.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360568900.cpp,dataset/71A/71A-C++/360583506.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360568900.cpp,dataset/71A/71A-C++/360583506_cheat_header.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360568900.cpp,dataset/71A/71A-C++/360587333.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360568900.cpp,dataset/71A/71A-C++/360587333_cheat_combo.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360568900_cheat_format.cpp,dataset/71A/71A-C++/360583506.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360568900_cheat_format.cpp,dataset/71A/71A-C++/360583506_cheat_header.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360568900_cheat_format.cpp,dataset/71A/71A-C++/360587333.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360568900_cheat_format.cpp,dataset/71A/71A-C++/360587333_cheat_combo.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360583506.cpp,dataset/71A/71A-C++/360587333.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360583506.cpp,dataset/71A/71A-C++/360587333_cheat_combo.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360583506_cheat_header.cpp,dataset/71A/71A-C++/360587333.cpp,71A,independent_same_problem,0
dataset/71A/71A-C++/360583506_cheat_header.cpp,dataset/71A/71A-C++/360587333_cheat_combo.cpp,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916.py,dataset/71A/71A-Python/360565720.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916.py,dataset/71A/71A-Python/360565720_cheat_rename.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916.py,dataset/71A/71A-Python/360581621.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916.py,dataset/71A/71A-Python/360581621_cheat_format.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916.py,dataset/71A/71A-Python/360584252.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916.py,dataset/71A/71A-Python/360584252_cheat_header.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916.py,dataset/71A/71A-Python/360643042.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916.py,dataset/71A/71A-Python/360643042_cheat_combo.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916_cheat_comment.py,dataset/71A/71A-Python/360565720.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916_cheat_comment.py,dataset/71A/71A-Python/360565720_cheat_rename.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916_cheat_comment.py,dataset/71A/71A-Python/360581621.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916_cheat_comment.py,dataset/71A/71A-Python/360581621_cheat_format.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916_cheat_comment.py,dataset/71A/71A-Python/360584252.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916_cheat_comment.py,dataset/71A/71A-Python/360584252_cheat_header.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916_cheat_comment.py,dataset/71A/71A-Python/360643042.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360487916_cheat_comment.py,dataset/71A/71A-Python/360643042_cheat_combo.py,71A,independent_same_problem,0
dataset/71A/71A-Python/360565720.py,dataset/71A/71A-Python/360581621.py,71A,independent_same_problem,0
